drawdate,sales,n1,n2,n3,n4,n5,winners_5,winners_4,winners_3,winners_2,prize_5,prize_4,prize_3,prize_2
2012-01-02,246830,14,18,21,24,30,1,81,2713,27198,27711,154,11,2
2012-01-03,226846,7,16,21,26,29,0,88,2521,26425,0,401,10,2
2012-01-04,225591,1,6,19,33,36,2,67,2379,24302,12886,174,11,2
2012-01-05,229875,2,16,22,24,29,3,86,2568,25912,8446,132,11,2
2012-01-06,244028,14,27,28,29,37,1,83,2708,27552,26867,146,10,2
2012-01-07,237744,12,13,17,24,34,0,85,2745,27211,0,442,10,2
2012-01-09,243835,7,11,25,31,37,1,114,3233,29360,25373,100,8,2
2012-01-10,218622,6,7,11,32,35,0,62,2436,25901,0,540,10,2
2012-01-11,219709,2,14,17,18,34,0,74,2365,24522,0,478,11,2
2012-01-12,220493,11,13,20,23,28,0,78,2581,25679,0,440,9,2
2012-01-13,245489,2,9,27,28,30,1,80,2805,27351,27319,154,10,2
2012-01-14,239027,18,25,28,29,32,0,71,2687,26395,0,547,11,2
2012-01-16,245184,2,7,8,24,36,1,78,2711,28314,26484,153,10,2
2012-01-17,212574,1,18,25,28,37,0,86,2446,23974,0,395,10,2
2012-01-18,215665,1,14,17,21,35,1,77,2282,23275,24604,144,11,2
2012-01-19,221020,9,10,12,29,37,0,78,2696,26417,0,430,9,2
2012-01-20,235428,9,11,14,26,32,0,79,2562,26182,0,482,10,2
2012-01-21,232630,1,4,5,20,35,1,93,2626,25806,25978,126,11,2
2012-01-23,243811,4,11,24,36,37,0,75,2703,27662,0,517,10,2
2012-01-24,208682,6,23,25,27,31,0,86,2269,22799,0,398,11,2
2012-01-25,207100,4,6,16,19,30,0,79,2261,23038,0,423,11,2
2012-01-26,221806,16,20,24,30,31,1,68,2302,23368,25763,171,11,2
2012-01-27,231270,6,13,17,23,32,0,91,2569,26312,0,403,10,2
2012-01-28,229473,1,3,14,15,25,1,96,2610,26744,24591,115,10,2
2012-01-30,243261,2,19,20,21,23,0,81,2732,27533,0,479,10,2
2012-01-31,214640,7,8,14,29,36,0,57,2258,24484,0,596,11,2
2012-02-01,228716,3,4,16,26,32,0,63,2329,24667,0,601,12,2
2012-02-02,235854,16,18,24,30,34,0,74,2398,25873,0,521,11,2
2012-02-03,249582,14,20,23,34,35,1,87,2493,26984,28435,147,12,2
2012-02-04,246607,14,24,25,30,37,1,78,2596,27696,27266,157,11,2
2012-02-06,251729,8,10,16,18,37,2,92,2910,29397,13464,132,10,2
2012-02-07,223526,2,12,18,19,35,0,80,2541,25527,0,442,10,2
2012-02-08,225896,6,8,18,25,30,0,73,2645,25698,0,491,9,2
2012-02-09,228131,14,20,23,25,32,1,75,2448,24923,25784,155,11,2
2012-02-10,239381,8,14,16,26,31,0,77,2599,25971,0,512,11,2
2012-02-11,239450,7,11,12,23,24,3,99,3224,30352,7898,108,8,2
2012-02-13,239493,2,7,15,22,35,0,94,2720,27760,0,398,10,2
2012-02-14,217996,4,21,24,36,37,0,65,2218,24521,0,537,11,2
2012-02-15,221772,1,7,10,33,37,0,78,2799,26649,0,430,9,2
2012-02-16,229038,3,11,21,23,24,0,103,3034,27434,0,337,8,2
2012-02-17,241453,3,17,29,32,37,1,83,2768,27918,26053,142,10,2
2012-02-18,233190,4,5,8,22,36,2,71,2585,26679,12695,161,10,2
2012-02-20,238115,3,18,25,26,35,0,87,2492,26446,0,442,11,2
2012-02-21,217111,2,4,10,26,37,0,75,2645,25520,0,447,9,2
2012-02-22,214839,5,12,19,35,36,1,58,2386,23947,23899,186,10,2
